Nazwisko,Liczba wystąpień
SYPIOŁA,6
SYPITKOWSKA,6
SYPŁAWSKA,6
SYPÓŁKA,6
SYRAKOWSKA,6
SYRBU,6
SYRIA,6
SYRICO,6
SYROJĆ,6
SYRTÓW,6
SYSOIEVA,6
SYSYN,6
SZABADOS,6
SZABAJ,6
SZABAŁKIN,6
SZABANOW,6
SZABATIN,6
SZABATURA,6
SZABLICZ,6
SZABÓOVÁ,6
SZABRAM,6
SZACHAGŁUCHOWICZ,6
SZACHALEWICZ,6
SZACHCIŃSKA,6
SZACIUKIEWICZ,6
SZACZUK,6
SZADEJA,6
SZAFEL,6
SZAFIEJEW,6
SZAFLIC,6
SZAFRANALIAS-SZAFRAŃSKA,6
SZAFRANSKA,6
SZAJBLE,6
SZAJBLICH,6
SZAJKA,6
SZAJLIKOWSKA,6
SZAKALINIS,6
SZAKIROW,6
SZALEWA,6
SZALINIEC,6
SZAŁACHAN,6
SZAŁGINIEWICZ,6
SZAŁONIK,6
SZAŁUDA,6
SZAMBER,6
SZAMIER,6
SZAMIN,6
SZAMION,6
SZAMRAK,6
SZANAJCA,6
SZANDOROWSKA,6
SZANEK,6
SZANGULEIT,6
SZANTRUCZEK,6
SZAOR,6
SZAPKIEWICZ,6
SZAPUCKO,6
SZARACHAN,6
SZARAFINOWICZ,6
SZAREWICZ VEL SZERSZENIEWICZ,6
SZARFF,6
SZAROK,6
SZAROLETTA,6
SZASTAŁO,6
SZASTKO,6
SZAULEWICZ,6
SZAUR,6
SZAWCZAK,6
SZAWEC,6
SZAWKO,6
SZAYNOK,6
SZÁNTÓ,6
SZCHINDLER,6
SZCZACHOR,6
SZCZĄSKA,6
SZCZEBIWILK,6
SZCZEGIELSKA,6
SZCZEKUTOWSKA,6
SZCZELCZYK,6
SZCZEPIÓRKOWSKA,6
SZCZERPAKOWSKA,6
SZCZEŚKIEWICZ,6
SZCZODRÓCH,6
SZCZOTARZ,6
SZCZUBIECKA,6
SZCZUDŁEK,6
SZCZUREWSKA,6
SZCZURKA,6
SZCZYBIEŁKIEWICZ,6
SZCZYKUTOWSKA,6
SZCZYLIGAR,6
SZCZYPIEROWSKA,6
SZCZYPTAŃSKA,6
SZCZYRBATY,6
SZEBLEWSKA,6
SZECH,6
SZECHINGER,6
SZEDZIŃSKA,6
SZEGEDI,6
SZEINIG,6
SZEINWALD,6
SZEJKI,6
SZEJNERT,6
SZEJTAN,6
SZEKAL,6
SZEKLI,6
SZELCEL,6
SZELDER,6
SZELEMETKO,6
SZELENC,6
SZELEPKA,6
SZELIGA-POTOCKA,6
SZELIGA-SZELIGOWSKA,6
SZELNER,6
SZELUBSKI,6
SZELWA,6
SZEŁEMIEJ,6
SZEŁĘG,6
SZEMALIKOWSKA,6
SZEMELFEJNIK,6
SZEMELOWSKA,6
SZEMIETUCHA,6
SZEMLEJ,6
SZEMRAK,6
SZEMSZURA,6
SZENDAL,6
SZENDLER,6
SZENDLERMAJER,6
SZENFER,6
SZENIK,6
SZENTALER,6
SZEPIECIŃSKA,6
SZEPIEĆKO,6
SZERANOWICZ,6
SZERARD,6
SZERAUC,6
SZEREJ,6
SZEREMECKA,6
SZEREMETTI,6
SZERGE,6
SZERONOS,6
SZEROSZEWSKA,6
SZERSZUŃ,6
SZERUDA,6
SZESTAKOWSKA,6
SZESTAŁO,6
SZESTAWICKA,6
SZEŚCIUK,6
SZETSZOK,6
SZEURING,6
SZEWERNOGA,6
SZĘCIŃSKA,6
SZIBEL,6
SZIDEL,6
SZIEROK,6
SZIERS,6
SZIGULSKA,6
SZILL,6
SZIMPEL,6
SZIMUL,6
SZINGLER,6
SZITENHELM,6
SZKATULAK,6
SZKATULNY,6
SZKLARUK-LEONKIEWICZ,6
SZKLEWICZ,6
SZKOŁEK,6
SZKOŃDZIAK,6
SZKOPE,6
SZKROBKA,6
SZKUDLARCZYK VEL SZKUDLAREK,6
SZLAGIEWICZ,6
SZLAJBER,6
SZLAMP,6
SZLAŃSZOK,6
SZLARP,6
SZLASZKO,6
SZLĄDZAK,6
SZLĄZKIEWICZ,6
SZLENCZEK,6
SZLENGEL,6
SZLEŻANOWSKA,6
SZLINTER,6
SZLONZOK,6
SZLOSBERGER,6
SZLOSMAN,6
SZLUKER,6
SZŁAPACKA,6
SZŁAPIEKO,6
SZŁOD,6
SZŁOIŃSKA,6
SZŁUKA VEL SOŁODYNIUK,6
SZMAGŁA,6
SZMAGULSKA,6
SZMAJKE,6
SZMAJŁO,6
SZMALENBERGER,6
SZMAROŃ,6
SZMATLAN,6
SZMERK,6
SZMIAROWSKA,6
SZMIC,6
SZMIGIELOK,6
SZMIGOŃ,6
SZMITTKO,6
SZMUKLER,6
SZMURLIK,6
SZMYGIELSKA,6
SZMYTKI,6
SZNAGE,6
SZNAJGER,6
SZNAŁBELT,6
SZNAUDER,6
SZNEGULAU,6
SZNYDER,6
SZOC,6
SZODE,6
SZOKAL-EGIRD,6
SZOKRUTA,6
SZOLCEK,6
SZOLIBA,6
SZOŁAŃSKA,6
SZOŁNA,6
SZOŁTYK,6
SZONDELMEJER,6
SZOPIŃSKI,6
SZOSTKA,6
SZOSZYN,6
SZOTMILLER,6
SZOTOMSKA,6
SZOWA,6
SZPALIKOWSKA,6
SZPALIŃSKA,6
SZPANBRUKER,6
SZPARADZIŃSKA,6
SZPARECKA,6
SZPENDEL,6
SZPERŁAK,6
SZPICZYŃSKA,6
SZPONOWSKA,6
SZPORTUŃ,6
SZPRENGER,6
SZPRĘGIER,6
SZPYLA,6
SZREDNICKA,6
SZREMOWICZ,6
SZREYMAN,6
SZTAJMAN,6
SZTAJNYKIER,6
SZTAM,6
SZTAMLER,6
SZTARSKA,6
SZTĄPKA,6
SZTEINBERG,6
SZTEJNES,6
SZTENGAUZER,6
SZTERKA,6
SZTERNFELD,6
SZTEYN,6
SZTONDERA,6
SZTRAJCH,6
SZTRENO,6
SZTROBEL,6
SZTROMAN,6
SZTROMWASSER,6
SZTRUM,6
SZTUBE,6
SZTUKAŁA,6
SZTUM,6
SZTURYN,6
SZTYBE,6
SZTYCHNA,6
SZTYLAK,6
SZUBA-JABŁOŃSKA,6
SZUCHT,6
SZUDAJSKA,6
SZUDROWSKA,6
SZUDZIAK,6
SZUFLAT,6
SZUGŹDZINIS,6
SZUKALE,6
SZUKIŁOJĆ,6
SZULAŃCZYK,6
SZULCHACZEWICZ,6
SZULC-LEWANDOWSKA,6
SZULCZEK,6
SZULINSKA,6
SZULTER,6
SZUŁAJEW,6
SZUMAREK,6
SZUMASZKIEWICZ,6
SZUMEN,6
SZUMIHORA,6
SZUMILUK,6
SZUMIŁKIN,6
SZUMIŁŁO,6
SZUPEJKO,6
SZUPSKA,6
SZURGAJ,6
SZURPA,6
SZURYNIUK,6
SZURYS,6
SZUSBIER,6
SZUŚCIAK,6
SZUTERKIEWICZ,6
SZWAJDLER,6
SZWAKIEL,6
SZWANDZIAK,6
SZWANTNER,6
SZWARCZUK,6
SZWECZKO,6
SZWEJOWICZ,6
SZWEMMER,6
SZWENDKE,6
SZWENIK,6
SZWENKIEL,6
SZWERECKA,6
SZWIERZ,6
SZWISTENBERG,6
SZWOJNICKA,6
SZWOLIŃSKA,6
SZYCHTER,6
SZYDLOWSKI,6
SZYDŁOWSKA-WÓJCIK,6
SZYFERS,6
SZYFKA,6
SZYGOCKA,6
SZYGUDZIŃSKA,6
SZYGULLA,6
SZYJAK,6
SZYKOR,6
SZYLA,6
SZYŁKIN,6
SZYMACHNIAK,6
SZYMANCZYK,6
SZYMANDERSKA,6
SZYMANICA,6
SZYMAŃSKA-KAMIŃSKA,6
SZYMAŃSKA-NOWAK,6
SZYMBERT,6
SZYMCHEL,6
SZYMICKA,6
SZYMOWIAT,6
SZYNGLAREWICZ,6
SZYNGLER,6
SZYNTAK,6
SZYPICYN,6
SZYPKO,6
SZYREJKO,6
SZYRKO,6
SZYRLEWSKA,6
SZYRONIN,6
SZYSZKO VEL CHORĄŻY,6
SZYSZLER,6
SZYŚLAK,6
ŚCIATKO,6
ŚCIEPUL,6
ŚCIOPKO,6
ŚCISIEWICZ,6
ŚCISŁAW,6
ŚLADECZEK,6
ŚLEŃSKA,6
ŚLEPA,6
ŚLESAREW,6
ŚLESAROW,6
ŚLEWICKA,6
ŚLEZANKIEWICZ,6
ŚLIPCZYŃSKA,6
ŚLISKOWSKA VEL ŚLISKA,6
ŚLIWKOWICZ,6
ŚLIŻYŃSKA,6
ŚLOSKO,6
ŚMIERCZYŃSKA,6
ŚMIERGAŁA,6
ŚMIERTELNA,6
ŚMIESZKOWSKA,6
ŚMIETANIAK,6
ŚMIT,6
ŚMITROWSKA,6
ŚNIATEK,6
ŚNIECHÓRSKA,6
ŚNIECICHOWSKA,6
ŚNIEDKA,6
ŚNITOWSKA,6
ŚPIECHA,6
ŚPIEĆ,6
ŚPIEWEK,6
ŚREMBA,6
ŚRUDKOWSKA,6
ŚWIACZYŃSKA,6
ŚWIATOŃSKA,6
ŚWIATOSZEK,6
ŚWIATROCH,6
ŚWIC,6
ŚWIECIEWSKA,6
ŚWIEGOŃ,6
ŚWIEPRAWSKA,6
ŚWIERCZYŃSKI,6
ŚWIERGOŁA,6
ŚWIERSZCZKO,6
ŚWIERSZCZKÓW,6
ŚWIĘCKI,6
ŚWIĘDZIKOWSKA,6
ŚWIĘTNIAK,6
ŚWIKSZCZO,6
ŚWINDRYK,6
ŚWINIECKA,6
ŚWIPIARSKA,6
ŚWIRCZAK,6
ŚWIREK-ŚWIERSZCZ,6
ŚWIRÓG,6
ŚWISTEL,6
ŚWITAK,6
ŚWITASZEWSKA,6
ŚWITILNIK,6
ŚWITLAGA,6
ŚWITŁOWSKA,6
ŚWITUŃ,6
ŠEVČIK,6
ŠIŠKA,6
ŠTEFANOVÁ,6
ŠTĚPÁNKOVÁ,6
ŠVECOVÁ,6
ŞCURA,6
ŞENER,6
TABACHUK,6
TABIENKO,6
TABJAN,6
TABUR,6
TABURSKA,6
TACEWICZ,6
TACZ,6
TACZYCKA,6
TAĆKIEWICZ,6
TADDEY,6
TADULEWICZ,6
TAEDLING,6
TAIBER,6
TAJAR,6
TAJCHNER,6
TAJGUNOW,6
TAJKIEWICZ,6
TAKAGI,6
TAKÁCS,6
TALALAI,6
TALASZEK,6
TALBI,6
TAŁAŃCZUK,6
TAMALE,6
TAMAR,6
TAMARIT PUERTO,6
TANÇ,6
TANEVA,6
TANFAL,6
TANGEN,6
TANNEBAUM,6
TANOWSKA,6
TANTAEVA,6
TANWIC,6
TAPKOWSKA,6
TARAJKIEWICZ,6
TARAMASZ,6
TARANIEWSKA,6
TARAVSKA,6
TARAWSKA,6
TAREŁKA,6
TARHONII,6
TARNAWA-ZAJĄCZKOWSKA,6
TARSZEWSKA,6
TARUC,6
TARVERDYAN,6
TARWAJNIS,6
TASEVSKA,6
TASZŁOW,6
TASZYŃSKA,6
TAŞÇI,6
TAŞKIN,6
TATARELIS,6
TATARO,6
TATUSZKA,6
TATYRATA,6
TAUBWURCEL,6
TAUFERNER,6
TAURZESKA,6
TAUS,6
TAWFIK,6
TAWIL,6
TAZBIREK,6
TAZIN,6
TAŹBIROWSKA,6
TAŻYK,6
TCHOR,6
TCHORCZAK,6
TCHOREWSKA,6
TCHORZELEWSKA,6
TEBUS,6
TEDER,6
TEGE,6
TEI,6
TEKE,6
TEKER,6
TEKIENIEWSKA,6
TEKIERKA,6
TEKWANI,6
TELEPKA,6
TELĘDA,6
TELFER,6
TELICZKA,6
TEŁOWSKA,6
TEŁYCZKA,6
TEMIZ,6
TENBAUM,6
TENCZERT,6
TENSZERT,6
TENTSCHERT,6
TEODORESCU,6
TEODORIDU,6
TEOFILUK,6
TEPCZYŃSKA,6
TEPE,6
TEPŁYCKA,6
TERCHALSKA,6
TEREBUŃ,6
TERELIS,6
TEREŃCZUK,6
TERKOWSKA,6
TERLECKA-PROKOPOWICZ,6
TERLIKIEWICZ,6
TERLOEVA,6
TERNOŻEK,6
TERSZAK,6
TERTYSHNA,6
TERZIMANN,6
TERZOPULU,6
TESAR,6
TESMANN,6
TEŚLA,6
TEUCHMAN,6
TEUNISSEN,6
TĘCZARSKA,6
THAKUR,6
THANNHÄUSER,6
THEDY,6
THEIHS,6
THEIMER,6
THEINERT,6
THIELEN,6
THISSEN,6
THOLEN,6
THOMALA,6
THOMECZEK,6
THOMIK,6
THOMMÉE,6
THORN,6
THUMULKA,6
THURLOW,6
TIACHNYBOK,6
TIARA,6
TICHOMIROW,6
TIERENTJEW,6
TIERESZKO,6
TIJEWSKA,6
TIKWIŃSKA,6
TILEY,6
TILLY,6
TIMMONS,6
TINDALL,6
TINE,6
TISTEK,6
TISZKOW,6
TITSKA,6
TITTINGER,6
TITTOR,6
TITZE,6
TITZMANN,6
TIULEMBA,6
TIUNOVA,6
TIURMOREZÓW,6
TIUTIURSKA,6
TKACZEW,6
TKACZOWA,6
TLAMACZ,6
TŁUSTWA,6
TOBUŁA,6
TOBY,6
TOCHMAŃSKA,6
TOCHOR,6
TODOSIICHUK,6
TODZIO,6
TOFT,6
TOKARENKO,6
TOKAREW,6
TOKĆ,6
TOKMINA,6
TOKOCZ,6
TOKSOY,6
TOKSZTOLF,6
TOLSKA,6
TOLWEJSZ,6
TOŁBIŃSKA,6
TOŁMASOW,6
TOŁOKO,6
TOŁOPKA,6
TOŁUP,6
TOMACZAK,6
TOMAS VEL TOMASZEWSKA,6
TOMASHCHUK,6
TOMASIAKIEWICZ,6
TOMASZEWSKA-WÓJCIK,6
TOMASZUK-SPIRIDOWICZ,6
TOMBEK,6
TOMBORSKA,6
TOMCZA,6
TOMCZYK VEL WOJCIECHOWSKA,6
TOMCZYNSKA,6
TOMECKI,6
TOMENCHUK,6
TOMINA,6
TOMOW,6
TOMSIK,6
TOMSON,6
TOMSZIK,6
TOMULKA,6
TONDEROWSKA,6
TONOJAN,6
TOPCU,6
TOPCZEWSKI,6
TOPCZYJ,6
TOPIARZ,6
TOPÓR-KAPAC,6
TOPÓR-SMAŚ,6
TOPUR,6
TORAŁ,6
TORCZYNOWICZ,6
TORLACHIDIS,6
TORUŃCZYK,6
TOSEK,6
TOSKA,6
TOTJEW,6
TOUATI,6
TOWSTJENKO,6
TOWSTOLAK,6
TOZICZKA,6
TŐKES,6
TÖPFER,6
TÖRÖK,6
TRACHIMIK,6
TRAFIMOW,6
TRAJMAN,6
TRALLS,6
TRAŁUT,6
TRAMPLER,6
TRAMPNAU,6
TRAN-THI,6
TRAPIŁO,6
TRASA,6
TRASKULEWSKA,6
TRASZKUĆ,6
TRATNERSKA,6
TRATO,6
TRAVAGLINI,6
TRAŻEWSKA,6
TRĄCEWICZ,6
TRECIAK,6
TREDLEWSKA,6
TREISZTA,6
TREJBSZO,6
TREJDER,6
TREJTEN,6
TREMBA,6
TREMBOVETSKA,6
TREMISZEWSKA,6
TRENDAFILOVA,6
TRENKS,6
TRENOGOW,6
TRENZELUK,6
TRENZINGER,6
TREPKE,6
TREPOW,6
TREPTAU,6
TRESLER,6
TRETOWICZ,6
TREZACK,6
TRĘDZBOR,6
TRIEBLING,6
TRILLER,6
TRINER,6
TRIPPEL,6
TRIUKHAN,6
TRMAL,6
TROCHIMIEC,6
TROCHTA,6
TROEDER,6
TROFIMOWSKA,6
TROJANSKA,6
TROJAŃCZUK,6
TROKHYMENKO,6
TROLKA,6
TROMBETTA,6
TROMPETEUR,6
TROMPKA,6
TRONIAK,6
TRONNIARZ,6
TRONOW,6
TROPIEJKO,6
TROPISZ,6
TROSKIEWICZ,6
TROSSET,6
TROTCZYNSKA,6
TROTSKO,6
TROTZ,6
TROTZEK,6
TRÓJNARA,6
TRÖGER,6
TRUBACH,6
TRUBICZ,6
TRUBNIKOVA,6
TRUCHLINSKA,6
TRUCZKA,6
TRUDERUNG,6
TRUEMAN,6
TRUHN,6
TRUKAWA,6
TRUONG THI,6
TRUSHYNA,6
TRUSOWSKA,6
TRUSSNER,6
TRUTOWSKA,6
TRYBULA,6
TRYCHOŃ,6
TRYFOŃSKA,6
TRYHUBCZAK,6
TRYJARSKA,6
TRYKOSKO,6
TRYNISZEWSKI,6
TRYPUZA,6
TRZASKA-GERLECKA,6
TRZĄSAŁA,6
TRZCIELINSKA,6
TRZCIENIECKA,6
TRZOSS,6
TSATURYAN,6
TSERENDORJ,6
TSIAPA,6
TSISAR,6
TSIUPKA,6
TSOMA,6
TSVETANOVA,6
TSYHANIUK,6
TSZYDEL,6
TUBACZKA,6
TUCHUŁKA,6
TUDEJ,6
TUDOROW,6
TUDZIARZ,6
TUFAN,6
TUGUI,6
TUKANOWICZ,6
TULEDA,6
TULEJEWICZ,6
TULIDZIŃSKA,6
TULISOW,6
TULITA,6
TULL,6
TULLER,6
TUŁUPOW,6
TUMALAK,6
TUMANOWSKA,6
TUMANÓW,6
TUMCZYŃSKA,6
TUMIANIEC,6
TUNKIS,6
TURALIK,6
TURANSKA,6
TURCHENKO,6
TURKINA,6
TURLEY,6
TURMOWICZ,6
TUROWER,6
TURSA,6
TURTON,6
TURWANICKA,6
TURYCZ,6
TURZIŃSKA,6
TURZIONEK,6
TUSCHINSKI,6
TUSZAS,6
TUTORSKA,6
TUŻYNIECKA,6
TŰRSCHMID,6
TÜRKE,6
TÜRKMEN,6
TÜRSCHMID,6
TVERDOVSKA,6
TWARDOKENS,6
TWARDZIKOWSKA,6
TWARÓŻEK,6
TWERJANOWICZ,6
TWÓRZEWSKA,6
TWURZEWSKA,6
TYBUSEK,6
TYCHANYCZ,6
TYĆ,6
TYJARA,6
TYKHOLAZ,6
TYKTOR,6
TYLKIE,6
TYLLAK,6
TYLMAN-BARTKIEWICZ,6
TYMASZUK,6
TYMCZYSZEN,6
TYMINIEWSKA,6
TYMIUK,6
TYMOFIIV,6
TYMONIEWICZ,6
TYMOSHEVSKA,6
TYMOSHYTSKA,6
TYMYK,6
TYNDYRA,6
TYNELSKA,6
TYNOWSKA,6
TYŃCZYK,6
TYRYFTER,6
TYTKE,6
TYTŁO,6
TYWS,6
TZADOK,6
UBIESZYŃSKA,6
UBIŃSKA,6
UCHNIEWSKA,6
UCHRYŃ,6
UDALOVA,6
UDEH,6
UDERJAN,6
UFLONT,6
UGWU,6
UIBEL,6
UJMOWICZ,6
UKRAINIEC,6
UKRYŃCZUK,6
UKWENYA,6
ULEZŁO,6
ULIANOWSKA,6
ULIJAŃSKA,6
ULJARCZYK,6
ULMANEK,6
ULONSKA,6
ULUDOWSKA,6
ULYANOVA,6
UŁANOW,6
UŁART,6
UMERLI,6
UMIERSKA,6
UMLAUFT,6
UMNICKA,6
UNDRA,6
UNKELBACH,6
UNYSKO,6
URAKCZYŃCOW,6
URBAŃSKA VEL URBANIAK,6
URBAŃSKA-WOŹNIAK,6
URGALSKA,6
URIADKO,6
URNIARZ,6
URONIECKA,6
URSACHI,6
URZĘNICZOK,6
USACH,6
USACZ,6
USCHPELKAT,6
USKOVA,6
USTIENNY,6
USTIMIUK,6
USZAKOWICZ,6
USZCZUK,6
USZYŃSKI,6
UTFALD,6
UTLIŃSKA,6
UTRYSKO,6
UĞUR,6
UWARKIN,6
UWNAL,6
UZDAWINIS,6
UZELAC,6
UZŁOWSKA,6
UZNA,6
UZOLNIK,6
UZUNOVA,6
UZUNOW,6
UŻANOWSKA,6
UŻAŃSKA,6
UŻWIJ,6
VACARCIUC,6
VACCA,6
VAKALIUK,6
VAKARESKU,6
VAKHOVSKA,6
VALENDUCQ,6
VALENT,6
VALENTI,6
VALENTINE,6
VALET,6
VALIEVA,6
VALIUK,6
VALLE,6
VALTER,6
VAN BERGEN,6
VAN DE POL,6
VAN DE VEN,6
VAN DEN AKKER,6
VAN DEN BOSCH,6
VAN DER BEEK,6
VAN DER HOEVEN,6
VAN DER STEEN,6
VAN DER VELDE,6
VAN DER VOORT,6
VAN DER WERF,6
VAN ELDER,6
VAN GIELLE RUPPE,6
VAN HORNE,6
VAN MIERLO,6
VAN SCHAIK,6
VANDENHOVE,6
VANKO,6
VAN-SELOW,6
VARANKA,6
VARYVODA,6
VASETSKA,6
VASILENKO,6
VASILKOVA,6
VASYLECHKO,6
VDOVINA,6
VEHERA,6
VELEV,6
VELEVA,6
VELJKOVIĆ,6
VENTURELLA,6
VENZKE,6
VERDI,6
VERESHCHAHINA,6
VERKHOLIAK,6
VERKHOLYAK,6
VERNAY,6
VERSHYNINA,6
VERSTIUK,6
VIAL,6
VIARENICH,6
VICARI,6
VIKSTRÖM,6
VIKTOR,6
VILTUŻNIK,6
VINIARSKA,6
VINOKUROVA,6
VINSON,6
VINTER,6
VIRÁG,6
VIRLAN,6
VIRSTIUK,6
VISHNEVSKA,6
VITAEVA,6
VITIV,6
VITKO,6
VITOVSKA,6
VITYK,6
VLAS,6
VOELZKE,6
VOICU,6
VOINALOVYCH,6
VOINAROVYCH,6
VOINOVA,6
VOITKO,6
VOITOVA,6
VOKOUN,6
VOLIANYK,6
VOLKIVSKA,6
VOLKOTRUB,6
VOLLMAR,6
VOLMER,6
VOLOBUEVA,6
VOLOKITINA,6
VOLOSHENIUK,6
VOLOSHKO,6
VOLOVETSKA,6
VOLSKAYA,6
VOLYANSKA,6
VON PIECHOWSKA,6
VON PRONDZINSKA,6
VORAN,6
VOROBYOVA,6
VORON,6
VORONENKO,6
VOROSHCHUK,6
VOSTRIKOVA,6
VOVCHAK,6
VŐLKER,6
VRBA,6
VUJNOVIĆ,6
VYNAR,6
VYNARCHUK,6
VYSHNIVSKA,6
VYSOCHAN,6
VYSOCHYNSKA,6
WABEL,6
WABICKA,6
WACHAŁOWSKA,6
WACHLEWSKA,6
WACHNIENKO,6
WACHNIO,6
WACHSTYL,6
WACLIK,6
WACNIAK,6
WADERSKA,6
WADYNIUK,6
WAECHTER,6
WAEHNER,6
WAFA,6
WAGACZ,6
WAGAL,6
WAGEMANN,6
WAGIERA,6
WAGIŃSKA,6
WAIN,6
WAINDICH,6
WAINWRIGHT,6
WAIZ,6
WAJCHAMER,6
WAJDWICZ,6
WAJLONIS,6
WAJNKAJM,6
WAJNTRAUB,6
WAJSKOPF,6
WAJSTAK,6
WAKIENAS,6
WALADZIŃSKA,6
WALANTYK,6
WALAWGO,6
WALCZAK-NOWAK,6
WALDECKER,6
WALDHEIM,6
WALDHELM,6
WALDRON,6
WALECZ-MAJEWSKA,6
WALENCÓW,6
WALENICKA,6
WALERJAŃSKA,6
WALETZKE,6
WALETZKI,6
WALIA,6
WALIGURA,6
WALISIŃSKA,6
WALISZEWSKI,6
WALKOSZ-KOŚLAWY,6
WALKOWSKI,6
WALLERIN,6
WALPUSKA,6
WALTEROWSKA,6
WALTNER,6
WALUSCH,6
WALUSIUK,6
WAŁECZEK,6
WAŁĘZKA,6
WAŁKANIS,6
WAŁOW,6
WAŁOWY,6
WAŁUKIEWICZ,6
WAMYJ,6
WANCOWICZ,6
WANDREI,6
WANDT,6
WANGREN,6
WANIONEK,6
WAŃCZEWSKA,6
WAŃCZKO,6
WAŃCZUROWSKA,6
WAP,6
WAPNO,6
WARANECKA,6
WARASZEWSKA,6
WARCHALUK,6
WARDULEŃSKA,6
WARDYBA,6
WARDYNGA,6
WAREN,6
WARĘSKA,6
WARGULEWICZ-MALINOWSKA,6
WARISELA,6
WARJASZ,6
WARLINSKA,6
WARLOSZ,6
WARŁYCHO,6
WARMUTH,6
WARNE,6
WARNIŁO,6
WARSIAKOWSKA,6
WARSZYNSKA,6
WARTINI,6
WARTNER,6
WARWASZYŃSKA,6
WARZUSZYŃSKA,6
WARŻYŃSKA,6
WASCHKE,6
WASCHTO,6
WASECZKO,6
WASIELK,6
WASILESKA,6
WASILOWICZ,6
WASILUSZKO,6
WASIUTEK,6
WASNIEWSKA,6
WASTRAK,6
WASYLISZCZAK,6
WASYLKOWICZ,6
WASYŁEK,6
WASZEŚCIK,6
WASZT,6
WASZTEWICZ,6
WASZYCKA,6
WASZYNKO,6
WAŚKAŁO,6
WATRACZUK,6
WATZA,6
WATZLAWIK,6
WAWIŃSKA,6
WAWROSCHEK,6
WAWROŚ,6
WAWRYNOW,6
WAWRZELSKA,6
WAWRZINSKA,6
WAWRZYKIEWICZ,6
WAWRZYNIEWSKA,6
WAWRZYSZCZ,6
WAWRZYSZKIEWICZ,6
WAZGIRD,6
WAŻNIEWSKA,6
WAŻOWSKA,6
WĄCEWICZ,6
WĄSATA,6
WĄSIATYCZ,6
WĄTUR,6
WĄZIEWSKA,6
WEBERT,6
WEDRAL,6
WEICHER,6
WEICHHOLD,6
WEIDENAUER,6
WEIẞE,6
WEIERT,6
WEIHSBRODT,6
WEINCZYK,6
WEINDEL,6
WEINGARTH,6
WEINMÜLLER,6
WEINREB,6
WEINTRAUB,6
WEISBACH,6
WEISFELD,6
WEISŁO,6
WEISSBECK,6
WEISSBEK,6
WEISSBRODT,6
WEISSE,6
WEISSENFELD,6
WEITMANN,6
WEJDELEK,6
WEJK,6
WEJNAR,6
WEJSFLOG,6
WEJWER,6
WEL,6
WELĘC,6
WELICZ,6
WELLIK,6
WELNA,6
WELSANT,6
WELSZAR,6
WELZMAN,6
WEŁYKANYCZ,6
WEMNEK,6
WENCIERSKA,6
WENDRYCHOWSKA,6
WENECZUK,6
WENGLEWICZ,6
WENGLIŃSKA,6
WENNYK,6
WENTA-REKOWSKA,6
WENZGOŁ,6
WENZKE,6
WERBACHOWSKA,6
WERBCZAK,6
WERBENIEC,6
WERCHRACKA,6
WERDON,6
WEREDYN,6
WEREMI,6
WEREMSKA,6
WERESIUK,6
WERESZCZAKO,6
WERINKIN,6
WERONICKA,6
WERYMKOWICZ,6
WESSELI,6
WESSLER,6
WESTENBERG,6
WESTERKAMP,6
WESTERLUND,6
WESZPIŃSKA,6
WETHACZ,6
WETULANY,6
WEWER,6
WEZYNFELD,6
WĘDLIKOWSKA,6
WĘDRYSZEWSKA,6
WĘDZINSKA,6
WĘGIERCZYK,6
WĘZOWCZYK,6
WHALEY,6
WHITEHOUSE,6
WHITEMAN,6
WIACZKIS,6
WIASKA,6
WIATROLIK,6
WIATRZEWSKA,6
WICHERA,6
WICHÓRSKA,6
WICHURZYCKA,6
WIDBEK,6
WIDLA,6
WIDLAS,6
WIDŁAWSKA,6
WIDMANN,6
WIECHAN,6
WIECHĘĆ,6
WIECHMANN,6
WIECZKOWSKA,6
WIECZOR,6
WIEDBECK,6
WIEDEHOLZ,6
WIEGMANN,6
WIEHLE,6
WIEKLIŃSKA,6
WIELĄTEK,6
WIELBO,6
WIELEMBERG,6
WIELENTEJCZYK,6
WIELIGDZIEŃ,6
WIELIK,6
WIELIKANIEC,6
WIELONTEK,6
WIELUNIECKA,6
WIENCIARSKA,6
WIENCZATEK,6
WIENCZOWSKA,6
WIENIKAJTIS,6
WIENSKOL,6
WIENSZ,6
WIEPSZKOWSKA,6
WIERBOWIECKA,6
WIERCIŁO,6
WIERORZYMSKA,6
WIERSTAKOW,6
WIERSZYŃ,6
WIERUCH,6
WIESBACH,6
WIESZADŁO,6
WIESZKO,6
WIESZYŃSKA,6
WIETCZAK,6
WIETOSZEW,6
WIETROW,6
WIETSCHORKE,6
WIEŻAN,6
WIĘCOWSKA,6
WIĘŹNIAK,6
WIGANDT,6
WIGIERSKA,6
WIGMAN,6
WIJURA,6
WIKIŃSKA,6
WIKSLER,6
WILANCEWICZ,6
WILCZENTY,6
WILCZESKA,6
WILDGEN,6
WILDSTEIN,6
WILENBERG,6
WILIGER,6
WILJAM,6
WILK VEL WILKOWSKA,6
WILKIRSKA,6
WILKON,6
WILKÓW,6
WILLAND,6
WILLEMSEN,6
WILLISCH,6
WILMANOWSKA,6
WILMOT,6
WILNOWSKA,6
WILUMOW,6
WIŁOWICZ,6
WINAROWICZ,6
WINCESEWICZ-BOBOWICZ,6
WINCKO,6
